Electricity-supply-from-grid,Electricity-supply-photovoltaics,Electricity-supply-batteries-discharge,Electricity-demand-base,Electricity-demand-batteries-charge,Electricity-demand-heat-pumps,Electricity-demand-electro-mobility
0.49860764,2.878797,0.48783025,3.1120996,0,0.22609177,0.5270437
0.62695706,0.6187994,3.7305233,3.6575077,0,0.22409052,1.0946815
0.7072872,0,4.8926396,3.6792037,0,0.23846184,1.6822613
0.47542432,0,4.9809313,3.1455026,0,0.4457382,1.8651147
0.8041434,0,3.7405212,2.6380334,0,0.5140298,1.3926015
0.8077164,0,2.7808094,2.1980815,0,0.60719717,0.78324705
0.8156299,0,2.1490126,1.9442816,0,0.6370406,0.38332012
0,0,2.561552,1.9033281,0,0.38823265,0.2699914
0,0,2.395155,1.7071174,0,0.41804612,0.2699914
0.6353131,0,1.7250942,1.6314996,0,0.45891613,0.2699914
2.4474769,0,0,1.6705463,0,0.5069391,0.2699914
2.4761112,0,0,1.6817355,0,0.52438426,0.2699914
0.79191476,0.9617568,1.1208334,2.089253,0,0.5152606,0.2699914
0.67654115,2.7773325,0,2.6832612,0,0.5006211,0.2699914
0,7.967006,0,3.5003657,0.61042154,0.73686504,3.1193538
0,15.261933,0,4.302785,5.73458,1.1039777,4.120591
0,17.33845,0,4.7065344,7.8045387,0.45376962,4.373607
0,16.33845,0,4.81814,6.890461,0.64112985,3.9887183
0,14.679111,0,5.257539,5.5993385,0.29481202,3.5274212
0,14.019772,0,4.8957987,5.153148,0.6230116,3.3478131
0,14.360433,0,4.481423,6.206886,0.23949449,3.4326296
0,12.87746,0,4.3328767,4.304989,0.6328957,3.606698
2.6534834,4.530165,0,3.4926913,0,0.22690018,3.4640567
2.814362,2.0064583,0,3.058707,0,0.20036384,1.5617496
0.7255789,0.956026,1.9637774,2.9775054,0,0.1779055,0.4899713
0.020434799,0.342575,4.50296,3.638172,0,0.18216562,1.0456326
0,0.115676045,6.34363,3.6873012,0,0.21326199,2.5587425
1.1611406,0,4.2252917,3.1455026,0,0.44111925,1.7998103
2.8558652,0,1.5843292,2.6380334,0,0.46489474,1.3372664
0,0,3.4317682,2.1980815,0,0.49291775,0.7407689
2.1374216,0,0.7105111,1.9442816,0,0.5543708,0.34928036
1.4909794,0,1.0516473,1.9229271,0,0.34970814,0.2699914
0.99611837,0,1.3690383,1.727265,0,0.36790037,0.2699914
0,0,2.3096933,1.6520445,0,0.38765752,0.2699914
0.012898924,0,2.3508124,1.6909758,0,0.40274417,0.2699914
1.6543728,0,0.72144306,1.7026635,0,0.403161,0.2699914
3.1093614,0.33050683,0,2.0757177,0,0.38544065,0.9787098
1.6556324,1.617577,0,2.6400416,0,0.36317632,0.2699914
1.0668557,4.0185113,0,3.2711437,0,0.20521194,1.6090115
0,11.046232,0,4.083746,1.9646358,0.8991463,4.0987043
0,15.584578,0,4.6743546,5.946202,0.614657,4.349364
0,16.227463,0,4.9274707,7.136851,0.19508134,3.9680593
0,15.985499,0,5.4936533,6.5750804,0.40570801,3.5110574
0,14.743536,0,5.097372,5.6743965,0.6386464,3.3331215
0,10.919861,0,4.409135,2.9325886,0.16098921,3.4171484
0,14.008236,0,4.5705123,5.5811424,0.26698512,3.5895958
0,14.318782,0,4.3419566,6.493467,0.03507495,3.448283
0.3753276,6.4491773,0,3.5269878,0,0.05747545,3.2400417
1.0095384,2.7002463,0,3.234618,0,0.001210658,0.47395608
0,0.7326398,4.097069,3.8052654,0,0,1.0244433
0.32565504,0.07897454,5.0026298,3.7856894,0,0.027300043,1.5942701
0.38591364,0,4.8993564,3.2245257,0,0.28914535,1.7715987
0.2788652,0,4.009482,2.6896183,0,0.28536648,1.313362
0.556707,0,2.6936572,2.234682,0,0.2932636,0.7224184
0.5585366,0,2.0600736,1.9697908,0,0.3142444,0.33457512
0.98461187,0,1.3522713,1.9233981,0,0.14349362,0.2699914
3.6670728,0,0,1.727265,0,0.15347311,1.7863346
2.2496998,0,0,1.6528376,0,0.15652654,0.44033557
2.1374502,0,0,1.6946088,0,0.17285001,0.2699914
2.1475978,0,0,1.7116333,0,0.16597311,0.2699914
2.0515163,0.49422622,0,2.1041186,0,0.17163256,0.2699914
0.96910965,0.7718418,1.2802291,2.608219,0,0.14297043,0.2699914
0.36504465,1.5234265,1.7381319,3.1363237,0,0.2202879,0.2699914
1.9157004,3.464828,0,3.6066701,0,0.14869018,1.6251682
3.8687248,4.7714295,0,3.9852989,0,0.2288726,4.425983
1.1476886,7.5364165,0,4.4006777,0,0.25007582,4.033352
0,14.3219,0,5.4709606,4.8668346,0.42133042,3.562775
0,15.209423,0,5.233438,6.019962,0.57647,3.3795536
0.15643176,7.8288403,0,4.302626,0,0.21656945,3.4660764
0,9.466781,0,4.3650126,0.77153695,0.6865848,3.643646
0,15.879416,0,4.5619707,7.69709,0.12222028,3.4981356
